反復回数   残差
       0   66.667
       1   33.333
       2   16.667
       3   13.889
       4   11.111
       5    7.870
       6    7.755
       7    6.308
       8    5.748
       9    5.189
      10    4.464
      11    4.325
      12    3.732
      13    3.661
      14    3.320
      15    3.143
      16    2.960
      17    2.731
      18    2.647
      19    2.396
      20    2.373
      21    2.146
      22    2.132
      23    1.955
      24    1.920
      25    1.777
      26    1.731
      27    1.614
      28    1.562
      29    1.464
      30    1.410
      31    1.328
      32    1.274
      33    1.203
      34    1.152
      35    1.090
      36    1.042
      37    0.987
      38    0.942
      39    0.894
      40    0.852
      41    0.809
      42    0.771
      43    0.732
      44    0.698
      45    0.663
      46    0.631
      47    0.600
      48    0.571
      49    0.543
      50    0.517
      51    0.491
      52    0.468
      53    0.445
      54    0.423
      55    0.402
      56    0.383
      57    0.364
      58    0.347
      59    0.330
      60    0.314
      61    0.298
      62    0.284
      63    0.270
      64    0.257
      65    0.244
      66    0.232
      67    0.221
      68    0.210
      69    0.200
      70    0.190
      71    0.181
      72    0.172
      73    0.164
      74    0.156
      75    0.148
      76    0.141
      77    0.134
      78    0.128
      79    0.121
      80    0.116
      81    0.110
      82    0.105
      83    0.099
      84    0.095
      85    0.090
      86    0.086
      87    0.081
      88    0.077
      89    0.074
      90    0.070
      91    0.067
      92    0.063
      93    0.060
      94    0.057
      95    0.055
      96    0.052
      97    0.049
      98    0.047
      99    0.045
