反復回数,  残差
       0,  66.667
       1,  33.333
       2,  16.667
       3,  13.889
       4,  11.111
       5,   7.870
       6,   7.755
       7,   6.308
       8,   5.748
       9,   5.189
      10,   4.464
      11,   4.325
      12,   3.732
      13,   3.661
      14,   3.322
      15,   3.144
      16,   2.966
      17,   2.734
      18,   2.661
      19,   2.405
      20,   2.401
      21,   2.220
      22,   2.177
      23,   2.058
      24,   1.985
      25,   1.912
      26,   1.818
      27,   1.780
      28,   1.673
      29,   1.661
      30,   1.561
      31,   1.553
      32,   1.480
      33,   1.456
      34,   1.404
      35,   1.368
      36,   1.333
      37,   1.288
      38,   1.267
      39,   1.215
      40,   1.206
      41,   1.149
      42,   1.149
      43,   1.103
      44,   1.096
      45,   1.060
      46,   1.046
      47,   1.020
      48,   1.001
      49,   0.981
      50,   0.958
      51,   0.945
      52,   0.918
      53,   0.910
      54,   0.880
      55,   0.878
      56,   0.848
      57,   0.847
      58,   0.822
      59,   0.817
      60,   0.798
      61,   0.789
      62,   0.774
      63,   0.763
      64,   0.751
      65,   0.738
      66,   0.729
      67,   0.714
      68,   0.707
      69,   0.691
      70,   0.687
      71,   0.669
      72,   0.667
      73,   0.649
      74,   0.648
      75,   0.632
      76,   0.630
      77,   0.616
      78,   0.612
      79,   0.600
      80,   0.596
      81,   0.585
      82,   0.579
      83,   0.570
      84,   0.563
      85,   0.556
      86,   0.548
      87,   0.542
      88,   0.533
      89,   0.528
      90,   0.519
      91,   0.515
      92,   0.505
      93,   0.502
      94,   0.492
      95,   0.489
      96,   0.479
      97,   0.477
      98,   0.466
      99,   0.465
     100,   0.454
     101,   0.453
     102,   0.442
     103,   0.442
     104,   0.431
     105,   0.431
     106,   0.421
     107,   0.420
     108,   0.411
     109,   0.410
     110,   0.401
     111,   0.400
     112,   0.391
     113,   0.390
     114,   0.382
     115,   0.380
     116,   0.372
     117,   0.371
     118,   0.363
     119,   0.362
     120,   0.355
     121,   0.353
     122,   0.346
     123,   0.344
     124,   0.338
     125,   0.335
     126,   0.329
     127,   0.327
     128,   0.321
     129,   0.319
     130,   0.314
     131,   0.311
     132,   0.306
     133,   0.304
     134,   0.299
     135,   0.296
     136,   0.291
     137,   0.289
     138,   0.284
     139,   0.282
     140,   0.277
     141,   0.275
     142,   0.271
     143,   0.268
     144,   0.264
     145,   0.261
     146,   0.258
     147,   0.255
     148,   0.251
     149,   0.249
     150,   0.245
     151,   0.243
     152,   0.239
     153,   0.237
     154,   0.233
     155,   0.231
     156,   0.228
     157,   0.225
     158,   0.222
     159,   0.220
     160,   0.217
     161,   0.214
     162,   0.211
     163,   0.209
     164,   0.206
     165,   0.204
     166,   0.201
     167,   0.199
     168,   0.196
     169,   0.194
     170,   0.192
     171,   0.189
     172,   0.187
     173,   0.185
     174,   0.182
     175,   0.180
     176,   0.178
     177,   0.176
     178,   0.173
     179,   0.171
     180,   0.169
     181,   0.167
     182,   0.165
     183,   0.163
     184,   0.161
     185,   0.159
     186,   0.157
     187,   0.155
     188,   0.153
     189,   0.151
     190,   0.150
     191,   0.148
     192,   0.146
     193,   0.144
     194,   0.142
     195,   0.141
     196,   0.139
     197,   0.137
     198,   0.135
     199,   0.134
     200,   0.132
     201,   0.131
     202,   0.129
     203,   0.127
     204,   0.126
     205,   0.124
     206,   0.123
     207,   0.121
     208,   0.120
     209,   0.118
     210,   0.117
     211,   0.115
     212,   0.114
     213,   0.113
     214,   0.111
     215,   0.110
     216,   0.108
     217,   0.107
     218,   0.106
     219,   0.104
     220,   0.103
     221,   0.102
     222,   0.101
     223,   0.099
     224,   0.098
     225,   0.097
     226,   0.096
     227,   0.095
     228,   0.093
     229,   0.092
     230,   0.091
     231,   0.090
     232,   0.089
     233,   0.088
     234,   0.087
     235,   0.086
     236,   0.085
     237,   0.084
     238,   0.083
     239,   0.082
     240,   0.081
     241,   0.080
     242,   0.079
     243,   0.078
     244,   0.077
     245,   0.076
     246,   0.075
     247,   0.074
     248,   0.073
     249,   0.072
     250,   0.071
     251,   0.070
     252,   0.069
     253,   0.069
     254,   0.068
     255,   0.067
     256,   0.066
     257,   0.065
     258,   0.064
     259,   0.064
     260,   0.063
     261,   0.062
     262,   0.061
     263,   0.061
     264,   0.060
     265,   0.059
     266,   0.058
     267,   0.058
     268,   0.057
     269,   0.056
     270,   0.056
     271,   0.055
     272,   0.054
     273,   0.054
     274,   0.053
     275,   0.052
     276,   0.052
     277,   0.051
     278,   0.050
     279,   0.050
     280,   0.049
     281,   0.048
     282,   0.048
     283,   0.047
     284,   0.047
     285,   0.046
     286,   0.046
     287,   0.045
     288,   0.044
     289,   0.044
     290,   0.043
     291,   0.043
     292,   0.042
     293,   0.042
     294,   0.041
     295,   0.041
     296,   0.040
     297,   0.040
     298,   0.039
     299,   0.039
